"ProductName","ProductPrice","AverageRating","ReviewBody","ReviewRating","ProductCategory","ReviewAuthor","SentimentScore","SentimentCategory"
"Swiffer Heavy Duty Refills, Ceiling Fan Duster, 11 Count",14.44,4.8,"This is one of many Swiffer products in my house. Great for cleaning ceiling fans.
  
Read more",5,"hpc","Barbara W.",0.4,"Positive"
"Claritin 24hr Non-Drowsy Allergy Relief, Loratadine Tablets - 100ct",49.97,4.8,"Great Product. No COMPLANT's
  
Read more",5,"hpc","Thomas Stovall",0.5,"Positive"
"Amazon Basics Enameled Cast Iron Covered Round Dutch Oven, 4.3-Quart, White",46.64,4.7,"Finally used this dutch oven for the first time since catching it at a great price. After deep frying some boneless, skinless chicken breasts Nashville style, I confess that I am blown away. This is a heavy-duty, well built dutch oven that will likely outlast me and be passed along to another generation. It is heavy but the construction is solid and the features are impressive. The white enamel interior is a snap to clean, the handles are broad and easy to grip and the lid fits snugly and is capped by an impressive metal handle. The fact that the lid features condensation nipples speaks to the fact that the design and  execution are classic and well executed. I would wholeheartedly recommend this workhorse if it cost $100 or more. Well done Amazon, well done. BTW, I'm still using Le Creseut enameled cast-iron pieces I purchased 40 years ago.
  
Read more",5,"kitchen","Bryan C.",0.174418604651163,"Positive"
"CeraVe 100% Mineral Sunscreen SPF 50 | Face sunscreen With Zinc Oxide & Titanium Dioxide | Hyaluronic Acid + Niacinamide + Ceramides | Oil Free Sunscreen For Face | Travel Size Sunscreen 2.5 oz",13.19,3.9,"Dermatologist recommend product. Easy to apply with smooth consistency on skin
  
Read more",5,"beauty","Amazon Customer",0.555555555555556,"Positive"
"Swiffer Sweeper 2-in-1 Mops for Floor Cleaning, Dry and Wet Multi Surface Floor Cleaner, Sweeping and Mopping Starter Kit, Includes 1 Mop + 19 Refills, 20 Piece Set",18.44,4.6,"U no if it's Swiffer it's the best. I've seen the difference using off brand to save money but it's double the work cuz it don't pick it up the first time. Best price, So easy to assemble, The easiest cleaning, very durable, never leaves streaks. Totally recommend
  
Read more",5,"hpc","Lindsay",0.379310344827586,"Positive"
"Amazon Basics 6-Piece Trigger Clamp Set, 2 Pack of 4-Inch, 4 Pack of 6-Inch, Black/ Grey",22.98,4.4,"Thought these would be cheap and not hold much together for the price but I was impressed. They work better than expected and I would purchase again!
  
Read more",5,"hi","Frank R.",0.333333333333333,"Positive"
"Nature Valley Soft-Baked Oatmeal Squares, Peanut Butter Breakfast Snacks, 12 ct, 14.88 OZ",6.78,4.6,"TBH, I had mid expectations for these but they kinda blew me away. I know that the Nature Valley team are hot to shoehorn the actual word oatmeal into their product skus but hey fam... ""oatmeal square"" really isn't doing this bad boy any favors in the moniker department.  It's a soft peanut butter oatmeal cookie. And a darn good one too. Probably about the best I've had from a factory.These DO have a healthy dose of oats along with a very respectable peanut butter punch. I can easily put away three or four of these at a time without breaking a sweat. They are the kind of treat you will want to buy in the Value Pack size because they will go quickly. I personally wouldn't eat this for breakfast. It's a little too sweet for a morning option in my world. But, at night while I'm binging conspiracy theories on YouTube? Perfect!Got Milk?
  
Read more",5,"","ZOMGPWN❗",0.117647058823529,"Positive"
"Amazon Basics Tritan BPA-Free Plastic Stemless Wine Glass, 14-Ounce, Clear - Set of 4",26.48,4.5,"Back yard, pool area, when traveling, park, beach...you need these. Water, juice, wine, spritzers, whatever. These outdoor plastic tumblers are the best. We use them when we're out in our yard because we have kids and trust me when I say that I have cleaned up more broken glass on the pavers than I wish I had and it never gets fully picked up. When it's windy or you have kids running around, it's easy to pick up a plastic cup that gets knocked over. They're pretty thick and don't have a sharp rim so very easy to drink from them. They're small in terms of an actual wine glass, but that's not a big deal because they look so stylish. Sometimes the kids want their drinks in them and for this price point I have no problem. They work well with wine glass pens and while they are dishwasher safe, I recommend hand washing them to keep them from becoming cloudy or streaked. They're great for the beach and park too since they have a little weight and don't go flying off in the wind, or break when stepped on. We also take these to hotels with us so we can have drinks in the room from nice clean cups.
  
Read more",5,"kitchen","Becker",0.106796116504854,"Positive"
"Supergoop! Unseen Sunscreen - SPF 40-1.7 fl oz - Invisible, Broad Spectrum Face Sunscreen - Weightless, Scentless, and Oil Free - For All Skin Types and Skin Tones",38,4.6,"This has been a nice addition to my daily skincare routine. I have been looking for a facial sunscreen that doesn't feel too thick, greasy, or hard to rub in without leaving white residue. This sunscreen fit the bill. I haven't had a chance to test it out on a highly sunny day yet, but I really love how light it feels on my skin. The sunscreen rubs into the skin really easily and goes on smooth and covers the face and neck easily. It feels like a little goes a long way. I was also happy to see it is colorless so I don't have to deal with the annoying white streaks that can be hard to rub in with some SPFs. I plan on getting a second one to keep in my purse for reapplication throughout the day.
  
Read more",5,"beauty","Danielle Parker",0,"Neutral"
"Zyrtec 24 Hour Allergy Relief Tablets, Indoor & Outdoor Allergy Medicine with 10 mg Cetirizine HCl per Antihistamine Tablet, Relief of Allergies, 60 ct",25.8,4.8,"Product arrived quickly, undamaged,  an at a good price!
  
Read more",5,"hpc","Terry",0.428571428571429,"Positive"
"Method Foaming Hand Soap, Sea Minerals, Paraben and Phthalate Free, Biodegradable Formula, 10 fl oz (Pack of 3)",11.94,4.7,"I’m sensitive to textures and scents, but I find these really pleasant. I hate how long it takes to wash away the residue of typical hand soaps, but since this one is foam it’s easy to rinse. The scent is really nice but definitely not overpowering- it’s just enough that I can smell and enjoy it.It’s surprisingly effective at cleaning hands, too- I think it actually performs better than heavy duty dish soap at getting the smell of cheesy chip type snacks off my hands.The pump is easy to use and doesn’t break, nor does the bottle tip over when dispensing with one hand. I also love that method sells refill liquid for the bottles, both because it’s less wasteful and because it’s quite cost effective. Method never fails me- love their body wash and lotion too :)
  
Read more",5,"beauty","M",0.05,"Positive"
"Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",41.99,4.3,"I received it yesterday after ordering it one day last week. I love it, even though the video may lag it does meet my expectations. I plan on getting the in home camera soon. The video quality is clear in the daytime as well as the nighttime. Super easy to set up and super easy to install on your doorframe or wherever you decide to place it. 10/10 i really do recommend
  
Read more",5,"vdo-devices-store","6km91",0.230769230769231,"Positive"
"Bounty Select-A-Size Paper Towels, White, 2 Triple Rolls = 6 Regular Rolls",6.97,4.8,"These are the best paper towels and the rolls are huge so they last a long time. Amazon has the best price on these that I've seen.
  
Read more",5,"hpc","Karen Peercy",0.142857142857143,"Positive"
"Amazon Basics Dishwasher Rinse Aid Liquid, 32 Fl Oz, Pack of 1",9.18,4.5,"While searching for the best price I noticed the rinse aid by Amazon was a few dollars cheaper for a 32oz. bottle. So, I tried it. I'm happy with the results & love the savings too! Also, maybe it's just me but every time I had to refill the dishwasher I'd always spill it. With Amazon's bottle or pour spout or combination of, every drop went into the refill tank. I switched & you should give it a try cuz you will too.
  
Read more",5,"hpc","Lindsey Brewer",0.15,"Positive"
"Amazon Basics Daily Pantiliner, Long Length, Unscented, 120 Count (3 Packs of 40) (Previously Solimo)",7.47,4.1,"These are long & wide enough to protect the sides of your panties. Good Absorbency. The adhesion is perfect! It's along the entire bottom of the pad & it stays in place. Not just a couple strips that end up twisting and free floating in your chones! Ladies, you know what I mean. You won't have that, what's that on the floor, moment. IDK 😒 but that's not mine! As ALL the women scatter lol 😂
  
Read more",5,"hpc","MWC",0.0789473684210526,"Positive"
"Amazon Basics Thick Maxi Pads with Flexi-Wings for Periods, Extra Heavy Overnight Absorbency, Unscented, Size 5, 20 Count, 1 Pack (Previously Solimo)",5.54,4.4,"The Solimo Thick Maxi Pads are designed to provide reliable protection during periods, offering extra-long length and super absorbency for added peace of mind. This pack includes 26 pads, each featuring flexi-wings for a secure and comfortable fit.The extra-long length of these maxi pads offers extended coverage and protection, making them ideal for heavy flow days or overnight use. The super absorbent core quickly locks away moisture to keep you feeling dry and comfortable throughout your period.These pads are unscented, making them suitable for those with sensitive skin or preferences for fragrance-free feminine care products. The absence of fragrance reduces the risk of irritation and ensures a discreet and comfortable period experience.The flexible wings on each pad help to keep them securely in place, providing added protection against leaks and ensuring a close fit for optimal comfort. This feature allows you to stay active and confident during your period without worrying about pad movement.The 26-count pack offers convenience and value, providing an ample supply of maxi pads for your period needs. With the Solimo Thick Maxi Pads, you can feel confident and protected during your period with their extra-long length, super absorbency, and secure flexi-wings.
  
Read more",5,"hpc","Tiara",0.214285714285714,"Positive"
"Amazon Basics Mid-back Mesh Office Drafting Chair Stool with Adjustable Footrest, Flip-Up Arms, Black",124.99,3.8,"Comfortable.  Easy to follow directions. We'll made
  
Read more",5,"furniture","Amazon Customer",0.428571428571429,"Positive"
"Amazon Basics Multipurpose Copy Printer Paper, 24lb, 8.5-x-11-inch, 1 mega ream (800 sheet), 97 Bright, White",15.67,4.7,"Pros:Quality Printouts: Produces sharp, clear text and graphics.Cost-Effective: Priced competitively, offering great value for the amount of paper.Versatile: Suitable for a wide range of printers and copiers.Eco-Friendly: Made from sustainably sourced materials.Jam-Free: Smooth surface leads to fewer jams in the printer.Cons:Not Ideal for High-Resolution Printing: While great for general-purpose use, this paper isn't the best choice for printing high-quality photos or graphics.Slight Opacity: Some bleed-through when using very dark or heavy ink.The Verdict:In today’s fast-paced work environment, the last thing you need is to be held up by something as fundamental as printer paper. After trying the Amazon Basics Multipurpose Copy Printer Paper, it's safe to say that it delivers consistent performance, making it a reliable choice for your everyday printing needs.Firstly, let's talk about quality. The paper has a nice, smooth finish, which results in sharp and clear text. Whether it's an internal memo, client proposals, or basic graphics, the paper does justice to your print job.Cost-effectiveness is another area where this paper shines. Given the competitive pricing, I find it to be a budget-friendly option without compromising on quality. In terms of cost-per-sheet, it's one of the more affordable choices, making it an excellent pick for bulk printing.Versatility is yet another positive. This paper is compatible with various printers and copiers, which is a significant advantage. It's convenient if you switch between different printing devices like me.On the eco-friendly front, the paper is made from sustainably sourced materials. While it may not be the highest grade of recycled paper, it's still a step in the right direction for those concerned about their environmental impact.Now, for a point that may go unnoticed but is crucial: this paper is jam-resistant. While using it, I've encountered significantly fewer printer jams, which is always a time-saver in a busy work setting.However, it's not all sunshine and rainbows. The paper is not ideal for high-resolution printing. If you want to print professional-grade photos or high-quality graphics, opt for a more specialized paper. I also noticed some slight bleed-throughs when using heavy or dark ink.In conclusion, the Amazon Basics Multipurpose Copy Printer Paper offers a solid performance for general-purpose printing tasks. While it may not be your go-to for specialized print jobs, its reliability, versatility, and cost-effectiveness make it a strong contender for everyday office needs.
  
Read more",5,"office-products","Rich Gee",0.147826086956522,"Positive"
"Amazon Basics Storage Cube Shelf Organizer, 9 Cubes, White, 11.7""D x 35.9""W x 35.9""H",66.47,3.5,"Buenisimo para organizar espacios pequeños
  
  
Read more",5,"furniture","Yonaira B.",0,"Neutral"
"Amazon Basics Cordless Handheld Vacuum, USB Chargeable, Black",28.9,4,"This rechargeable hand held vacuum duster is not a power appliance, nor do I need it to be. It is a nice quiet presence on a shelf in the corner of my dining room.  I can zip up crumbs and little bits of this and that in a second and stick it back on its unobtrusive base in a few seconds.  No substitute for a canister or Dyson broom that will really clean a rug, but a terrific addition to the life of a busy person.  Zzzzip and it’s done. It sits calmly in reach until you need it, and then it’s so handy.  Stick in the charger when you wind the seven day clocks and you can rely on it.
  
Read more",5,"home-garden","Anne Mollegen Smith",0.163636363636364,"Positive"
"Dawn Ultra Anti-Bacterial EZ-Squeeze Hand Soap, Apple Blossom, 3x22 Fl Oz (Packaging may vary)",11.82,4.8,"Wonderful bargain and it smells amazing.
  
Read more",5,"hpc","LaQuisha Cherry",0.4,"Positive"
"Amazon Basics Bluetooth Wireless On Ear Headphones with Microphone, 35 Hour Playtime, Foldable, Black",28.49,4.3,"I'm in love with this product and will recommend anyone to buy them. They hit all the marks at an incredible price.Comfort: I have lots of piercings in both ears, so it's hard to find good over-ear headphones. These ones have just enough pressure to stay in place, but not too much that it gives you a headache. Plus, the headband extends easily and stays locked. I tried them in a 6 hrs. flight and they were amazing.Sound-quality: I perceived the same quality of sound as JBLs and Phillips that sell for twice and three times the price. I've used them for music, movies, and work meetings; vocals and bass are great.Connectivity: They took literally one minute to start working out of the box. I turned them on, paired them up with my phone, and instantly they synched-up without issues. Every time I turn them on they connect flawlessly.Portability: They are easy to carry around. They fold flat and inwards, so they fit easily in any bag without  taking much space.Battery-life: They charge fast, in around a couple of hours, and the battery lasts long. I have charged them once after a full week of daily use at work and a 6hr. flight.
  
Read more",5,"electronics","Owen",0.144230769230769,"Positive"
"Ring Stick Up Cam Battery | Weather-Resistant Outdoor Camera, Live View, Color Night Vision, Two-way Talk, Motion alerts, Works with Alexa | White",69.99,4.6,"I have a much better security camera system for my home's exterior but thought I might try one of these cams indoors since I have the Ring alarm system and a Ring Doorbell already.  I made the silly mistake, I guess, of assuming there would be some kind of integration with other Ring products - there isn't.  None.  Not a single thing.It seems like common sense to me that they'd integrate in a couple of ways.  I assumed that I'd be able to tell these cameras to only sense motion if the alarm was armed.  Nope.I figured I could at least set it to detect motion when I wasn't in the house.  Nope.  There isn't even any kind of proximity setting for it to even know if you're home or not.  They are not location aware in any way.  The Ring alarm system isn't either, so I suppose I should have known better already.I also assumed that if my Ring alarm went off the cameras would automatically come on and start recording.  Nope!The only motion option at all is to not alert you to motion during specific hours.  Note, this doesn't stop motion detection during these hours, it only stops the alerts.Motion detection/recording is only an on or off thing... absolutely no options whatsoever.Annoyed by the lack of integration I still mounted the camera in my great room.  I figured I try it for a few days and see how long the battery would actually last with motion recording on.  This is a high traffic area so I wasn't holding my breath... and sure enough, after not even 1 full day the battery is down to 80%.  This is with all the 'battery saving options' on.  This was only a test as I don't actually want recording of any kind going on in my house while I'm home unless the alarm is armed or going off.With absolutely no options, no integration with Ring alarm and no settings to limit it's recording this thing is really only good for one thing; on demand video with no automatic recording.  So, the thing is turned off now, doing nothing.  I can still activate it from my phone to occasionally check my house isn't burning down.Hopefully someday Ring will update the software and provide some common sense integration with it's other devices.This is all a shame as the build of the camera is quite good considering the low price as is the video quality.  The audio isn't great but it never is on cameras of any kind.***UPDATE***Ring support reached out to me directly almost immediately after I posted my review (Good on them) and told me how to link the Alarm, somewhat, to the camera.  You have to go into your Base Station settings, then linked devices, then you can set the cameras to record when the alarm goes off - but only then.  Make sure you have the updated app that just came out to do this. I didn't.  Again, the setting is in your base station, not in the cameras.This solved probably the biggest issue I had with the camera.  The rest of my review is still accurate though per Ring support.  Hopefully they'll add the other much needed features in the near future.***ANOTHER UPDATE***From Ring Support: ""The Modes feature will be released in November and will allow you to have the option to record motion only if the Ring Alarm System is set to Away Mode"".  This will be a great update and should have been available on launch.  I wonder if they are only just now thinking of it from all the negative feedback and reviews, but glad it's 'coming soon' either way.***ONE MORE UPDATE***Ring provided me early access to the 'Modes Feature' and I've been using it for the past few days.  It resolves all the issues I had with the alarm integration.  With modes you can set your cameras to only record when your alarm is set.  They can all be set independently and act differently depending on if you have your alarm set to off, home, or away.  For instance, you can set your exterior cameras to record when your alarm is set to home mode, but have your interior cameras are turned off.  You can set your interior cameras to only record while in away mode, etc. etc.  Or any combination.  The cameras can now be set the same way motion and door sensors can.  This is a great improvement.  They haven't told me exactly when this feature will be made public but have said it will be released 'by the end of the year'.I've increased the rating from 3 stars to 5.  This software update really has resolved every issue I had with the cameras.  I've now ordered and installed an additional 6 for my home.***LAST UPDATE***Having the modes features and my cameras set to only pop on and record during an alarm event (which is rare) and be off at all other times, I've had 2 months to evaluate battery life, almost exactly 60 days now.  All my cameras were down to below 10% battery level when I checked them last night.  Given the rate of battery drain I had expected them to last 3 months - though 2+ still isn't bad.  I have two external cameras on my entry gates outside with the solar panel add-on, they stay fully charged at all times even though it's pretty much been non-stop dark and cloudy days here since installation.  They are set to record all motion and since they point at a street they record events dozens of times per day... so if you're thinking of getting the solar panels for outdoor use, I highly recommend them.
  
Read more",5,"vdo-devices-store","David S.",0.0691823899371069,"Positive"
"Amazon Basics Moisturizing Dandruff Shampoo, 11 Fl Oz, Pack of 1",5.65,4.2,"Very strong anti itch flaking shampoo for the dry scalp rub in let soak for 5 minute removes excess flakes rense use conditionner rense
  
Read more",5,"hpc","Philip L. Pappas",-0.157894736842105,"Negative"
"Tide Stain Remover for Clothes, To Go Pen, Instant Spot Remover for Clothes, Travel & Pocket Size, 1 Count",2.97,4.7,"Great for on the go.Most stains come out if you clean them right away.  These pens are wonderful  for messes that happen when you're out and about
  
Read more",5,"hpc","alienated_bookworm",0.230769230769231,"Positive"
"GTRACING Gaming Chair Mat for Hardwood Floor 43 x 35inch Office Computer Gaming Desk Chair Mat for Hard Floor Red",39.99,4.4,"I notice my gaming chair was damaging my nice floor so I began looking for a floor mat. Luckily GT Racing sells them and since I have a GT racing gaming chair and desk I decided to get theirs to match my stuff. Well it does and it looks great. I like the material and the size is perfect. I highly recommend their floor mat if you're in the market for one.Pros: great price, perfect size, nice material, does not slide around, nice color and design, looks like it'll be easy to clean.Cons: other colors would be nice for the people that have a different color scheme other than red and black.Shipping was fast and the item arrived rolled up in the manufacture's box.
  
Read more",5,"furniture","Josh",0.194029850746269,"Positive"
